Algoritmo,Execução,Tamanho,Threads,Tempo(ms)
BubbleSort,Serial,100,1,0.1498
BubbleSort,Serial,100,1,0.1798
BubbleSort,Serial,100,1,0.197
BubbleSort,Serial,100,1,0.1513
BubbleSort,Serial,100,1,0.1527
BubbleSort,Paralelo,100,2,5.74
BubbleSort,Paralelo,100,2,0.9896
BubbleSort,Paralelo,100,2,0.403
BubbleSort,Paralelo,100,2,0.3948
BubbleSort,Paralelo,100,2,0.3391
BubbleSort,Paralelo,100,4,0.9843
BubbleSort,Paralelo,100,4,0.6217
BubbleSort,Paralelo,100,4,0.6021
BubbleSort,Paralelo,100,4,0.4919
BubbleSort,Paralelo,100,4,0.5412
BubbleSort,Paralelo,100,8,1.1793
BubbleSort,Paralelo,100,8,2.9124
BubbleSort,Paralelo,100,8,1.1011
BubbleSort,Paralelo,100,8,1.1768
BubbleSort,Paralelo,100,8,1.1778
BubbleSort,Paralelo,100,10,2.031
BubbleSort,Paralelo,100,10,1.9584
BubbleSort,Paralelo,100,10,1.6314
BubbleSort,Paralelo,100,10,2.2673
BubbleSort,Paralelo,100,10,1.6557
QuickSort,Serial,100,1,0.0331
QuickSort,Serial,100,1,0.0493
QuickSort,Serial,100,1,0.0254
QuickSort,Serial,100,1,0.0419
QuickSort,Serial,100,1,0.026
QuickSort,Paralelo,100,2,0.5454
QuickSort,Paralelo,100,2,0.3887
QuickSort,Paralelo,100,2,0.3153
QuickSort,Paralelo,100,2,0.3584
QuickSort,Paralelo,100,2,0.3028
QuickSort,Paralelo,100,4,0.6092
QuickSort,Paralelo,100,4,0.5153
QuickSort,Paralelo,100,4,0.514
QuickSort,Paralelo,100,4,1.218
QuickSort,Paralelo,100,4,0.5729
QuickSort,Paralelo,100,8,1.0061
QuickSort,Paralelo,100,8,0.9963
QuickSort,Paralelo,100,8,1.0904
QuickSort,Paralelo,100,8,1.0735
QuickSort,Paralelo,100,8,1.3632
QuickSort,Paralelo,100,10,1.6374
QuickSort,Paralelo,100,10,2.7314
QuickSort,Paralelo,100,10,1.558
QuickSort,Paralelo,100,10,1.3006
QuickSort,Paralelo,100,10,3.4256
SelectionSort,Serial,100,1,0.0858
SelectionSort,Serial,100,1,0.0816
SelectionSort,Serial,100,1,0.083
SelectionSort,Serial,100,1,0.082
SelectionSort,Serial,100,1,0.0818
SelectionSort,Paralelo,100,2,1.4252
SelectionSort,Paralelo,100,2,2.1031
SelectionSort,Paralelo,100,2,0.9485
SelectionSort,Paralelo,100,2,0.6822
SelectionSort,Paralelo,100,2,0.5667
SelectionSort,Paralelo,100,4,0.7811
SelectionSort,Paralelo,100,4,1.1452
SelectionSort,Paralelo,100,4,0.6654
SelectionSort,Paralelo,100,4,0.8072
SelectionSort,Paralelo,100,4,0.6105
SelectionSort,Paralelo,100,8,1.6341
SelectionSort,Paralelo,100,8,1.0723
SelectionSort,Paralelo,100,8,1.2381
SelectionSort,Paralelo,100,8,1.0779
SelectionSort,Paralelo,100,8,1.2644
SelectionSort,Paralelo,100,10,1.5134
SelectionSort,Paralelo,100,10,1.8987
SelectionSort,Paralelo,100,10,1.6423
SelectionSort,Paralelo,100,10,1.189
SelectionSort,Paralelo,100,10,1.1441
BubbleSort,Serial,1000,1,2.7147
BubbleSort,Serial,1000,1,2.9333
BubbleSort,Serial,1000,1,0.8763
BubbleSort,Serial,1000,1,0.9163
BubbleSort,Serial,1000,1,0.9716
BubbleSort,Paralelo,1000,2,0.7295
BubbleSort,Paralelo,1000,2,0.5742
BubbleSort,Paralelo,1000,2,0.625
BubbleSort,Paralelo,1000,2,2.3203
BubbleSort,Paralelo,1000,2,0.9632
BubbleSort,Paralelo,1000,4,1.0575
BubbleSort,Paralelo,1000,4,6.9848
BubbleSort,Paralelo,1000,4,4.8904
BubbleSort,Paralelo,1000,4,3.664
BubbleSort,Paralelo,1000,4,58.7819
BubbleSort,Paralelo,1000,8,1.5673
BubbleSort,Paralelo,1000,8,12.9357
BubbleSort,Paralelo,1000,8,0.9934
BubbleSort,Paralelo,1000,8,0.8815
BubbleSort,Paralelo,1000,8,2.0682
BubbleSort,Paralelo,1000,10,1.1356
BubbleSort,Paralelo,1000,10,0.964
BubbleSort,Paralelo,1000,10,1.0832
BubbleSort,Paralelo,1000,10,1.9178
BubbleSort,Paralelo,1000,10,1.1834
QuickSort,Serial,1000,1,0.0924
QuickSort,Serial,1000,1,0.0801
QuickSort,Serial,1000,1,0.0735
QuickSort,Serial,1000,1,0.074
QuickSort,Serial,1000,1,0.0722
QuickSort,Paralelo,1000,2,0.4354
QuickSort,Paralelo,1000,2,0.583
QuickSort,Paralelo,1000,2,0.4959
QuickSort,Paralelo,1000,2,0.4564
QuickSort,Paralelo,1000,2,0.3571
QuickSort,Paralelo,1000,4,0.641
QuickSort,Paralelo,1000,4,0.5095
QuickSort,Paralelo,1000,4,0.5177
QuickSort,Paralelo,1000,4,0.4772
QuickSort,Paralelo,1000,4,0.5059
QuickSort,Paralelo,1000,8,1.3378
QuickSort,Paralelo,1000,8,1.3164
QuickSort,Paralelo,1000,8,1.3236
QuickSort,Paralelo,1000,8,0.8691
QuickSort,Paralelo,1000,8,0.8534
QuickSort,Paralelo,1000,10,1.8352
QuickSort,Paralelo,1000,10,2.0291
QuickSort,Paralelo,1000,10,1.0866
QuickSort,Paralelo,1000,10,1.6449
QuickSort,Paralelo,1000,10,1.118
SelectionSort,Serial,1000,1,1.8436
SelectionSort,Serial,1000,1,1.3205
SelectionSort,Serial,1000,1,0.5413
SelectionSort,Serial,1000,1,0.5288
SelectionSort,Serial,1000,1,0.5242
SelectionSort,Paralelo,1000,2,0.6443
SelectionSort,Paralelo,1000,2,0.5986
SelectionSort,Paralelo,1000,2,0.3847
SelectionSort,Paralelo,1000,2,0.4291
SelectionSort,Paralelo,1000,2,0.3744
SelectionSort,Paralelo,1000,4,0.8207
SelectionSort,Paralelo,1000,4,0.5138
SelectionSort,Paralelo,1000,4,0.4722
SelectionSort,Paralelo,1000,4,0.488
SelectionSort,Paralelo,1000,4,0.5383
SelectionSort,Paralelo,1000,8,0.9479
SelectionSort,Paralelo,1000,8,2.3309
SelectionSort,Paralelo,1000,8,0.9921
SelectionSort,Paralelo,1000,8,0.9586
SelectionSort,Paralelo,1000,8,0.8352
SelectionSort,Paralelo,1000,10,1.1997
SelectionSort,Paralelo,1000,10,1.0528
SelectionSort,Paralelo,1000,10,1.1723
SelectionSort,Paralelo,1000,10,1.169
SelectionSort,Paralelo,1000,10,1.0955
BubbleSort,Serial,10000,1,121.4076
BubbleSort,Serial,10000,1,125.1768
BubbleSort,Serial,10000,1,120.5301
BubbleSort,Serial,10000,1,118.2088
BubbleSort,Serial,10000,1,120.8858
BubbleSort,Paralelo,10000,2,27.9901
BubbleSort,Paralelo,10000,2,29.1012
BubbleSort,Paralelo,10000,2,39.5773
BubbleSort,Paralelo,10000,2,26.5533
BubbleSort,Paralelo,10000,2,27.3729
BubbleSort,Paralelo,10000,4,8.1861
BubbleSort,Paralelo,10000,4,7.9018
BubbleSort,Paralelo,10000,4,6.4928
BubbleSort,Paralelo,10000,4,15.0276
BubbleSort,Paralelo,10000,4,12.6241
BubbleSort,Paralelo,10000,8,5.5456
